40.7127837, -74.0059413, New York
34.0522342, -118.2436849, Los Angeles
41.8781136, -87.6297982, Chicago
29.7604267, -95.3698028, Houston
39.9525839, -75.1652215, Philadelphia
33.4483771, -112.0740373, Phoenix
29.4241219, -98.49362819999999, San Antonio
32.715738, -117.1610838, San Diego
32.7766642, -96.79698789999999, Dallas
37.3382082, -121.8863286, San Jose
30.267153, -97.7430608, Austin
39.768403, -86.158068, Indianapolis
30.3321838, -81.65565099999999, Jacksonville
37.7749295, -122.4194155, San Francisco
39.9611755, -82.99879419999999, Columbus
35.2270869, -80.8431267, Charlotte
32.7554883, -97.3307658, Fort Worth
42.331427, -83.0457538, Detroit
31.7775757, -106.4424559, El Paso
35.1495343, -90.0489801, Memphis
47.6062095, -122.3320708, Seattle
39.7392358, -104.990251, Denver
38.9071923, -77.0368707, Washington
42.3600825, -71.0588801, Boston
36.1626638, -86.7816016, Nashville-Davidson
39.2903848, -76.6121893, Baltimore
35.4675602, -97.5164276, Oklahoma City
38.2526647, -85.7584557, Louisville/Jefferson County
45.5230622, -122.6764816, Portland
36.1699412, -115.1398296, Las Vegas
43.0389025, -87.9064736, Milwaukee
35.0853336, -106.6055534, Albuquerque
32.2217429, -110.926479, Tucson
36.7468422, -119.7725868, Fresno
38.5815719, -121.4943996, Sacramento
